"LoincNumber"	"LongCommonName"	"PartNumber"	"PartName"	"PartCodeSystem"	"PartTypeName"	"LinkTypeName"	"Property"
"8302-2"	"Body height"	"LP64598-3"	"Body height"	"http://loinc.org"	"COMPONENT"	"Primary"	"http://loinc.org/property/COMPONENT"
"8302-2"	"Body height"	"LP6822-3"	"Len"	"http://loinc.org"	"PROPERTY"	"Primary"	"http://loinc.org/property/PROPERTY"
"8302-2"	"Body height"	"LP6960-1"	"Pt"	"http://loinc.org"	"TIME"	"Primary"	"http://loinc.org/property/TIME_ASPCT"
"8302-2"	"Body height"	"LP310005-6"	"^Patient"	"http://loinc.org"	"SYSTEM"	"Primary"	"http://loinc.org/property/SYSTEM"
"8302-2"	"Body height"	"LP7753-9"	"Qn"	"http://loinc.org"	"SCALE"	"Primary"	"http://loinc.org/property/SCALE_TYP"
"8302-2"	"Body height"	"LP64598-3"	"Body height"	"http://loinc.org"	"COMPONENT"	"DetailedModel"	"http://loinc.org/property/analyte"
"8302-2"	"Body height"	"LP6822-3"	"Len"	"http://loinc.org"	"PROPERTY"	"DetailedModel"	"http://loinc.org/property/PROPERTY"
"8302-2"	"Body height"	"LP6960-1"	"Pt"	"http://loinc.org"	"TIME"	"DetailedModel"	"http://loinc.org/property/time-core"
"8302-2"	"Body height"	"LP7753-9"	"Qn"	"http://loinc.org"	"SCALE"	"DetailedModel"	"http://loinc.org/property/SCALE_TYP"
"8302-2"	"Body height"	"LP6985-8"	"Patient"	"http://loinc.org"	"SUPER SYSTEM"	"DetailedModel"	"http://loinc.org/property/super-system"
"8302-2"	"Body height"	"LP64598-3"	"Body height"	"http://loinc.org"	"COMPONENT"	"SyntaxEnhancement"	"http://loinc.org/property/analyte-core"
"8302-2"	"Body height"	"LP72681-7"	"Height"	"http://loinc.org"	"COMPONENT"	"Search"	"http://loinc.org/property/search"
"8302-2"	"Body height"	"LP281538-1"	"-"	"http://loinc.org"	"SYSTEM"	"Search"	"http://loinc.org/property/search"
"8302-2"	"Body height"	"LP7768-7"	"BDYHGT.ATOM"	"http://loinc.org"	"CLASS"	"Metadata"	"http://loinc.org/property/CLASS"
