specific_sfo,label,parent_count,equivalent_count
http://purl.obolibrary.org/obo/OBI_0001479,specimen from organism,0,1
http://purl.obolibrary.org/obo/OBI_0000655,blood specimen,3,0
http://purl.obolibrary.org/obo/OBI_0000651,urine specimen,3,0
http://purl.obolibrary.org/obo/OBI_0000671,sample from organism,1,1
http://purl.obolibrary.org/obo/OBI_0002500,amniotic fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002501,bile specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002503,feces specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002504,digestive system fluid or secretion specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002505,milk specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002506,pericardial fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002507,saliva specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002508,sputum specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002509,sweat specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002510,synovial fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002511,vitreous humor specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002513,placenta specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002514,peritoneal fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002515,pleural fluid specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002516,brain specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002517,hair specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002518,prostate gland specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002519,skeletal muscle tissue specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002520,heart specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002521,renal medulla specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002522,adrenal gland specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002523,breast specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002524,urinary bladder specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002525,tibial artery specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002526,skin of body specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002527,pancreas specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002528,stomach specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002529,pituitary gland specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002531,cortex of kidney specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002532,esophagus mucosa specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002533,colon specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002534,lung specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002535,esophagus muscularis mucosa specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002536,cerebral cortex specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002537,thyroid gland specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002538,cerebellum specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002539,tibial nerve specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002540,coronary artery specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002541,spleen specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002542,aorta specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002543,atrial appendage specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002544,esophagogastric junction specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002545,ileum specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002546,liver specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002547,minor salivary gland specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002548,omentum specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002549,ovary specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002550,sigmoid colon specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002551,suprapubic skin specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002552,testis specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002553,uterus specimen,0,1
http://purl.obolibrary.org/obo/OBI_0002554,vagina specimen,0,1
http://purl.obolibrary.org/obo/OBI_1000049,whole mount tissue,5,0
