sfo,sfolab,tissue,tisslab
http://purl.obolibrary.org/obo/OBI_0002500,amniotic fluid specimen,http://purl.obolibrary.org/obo/UBERON_0000173,amniotic fluid
http://purl.obolibrary.org/obo/OBI_0002501,bile specimen,http://purl.obolibrary.org/obo/UBERON_0001970,bile
http://purl.obolibrary.org/obo/OBI_0002502,cerebrospinal fluid specimen,http://purl.obolibrary.org/obo/UBERON_0001359,cerebrospinal fluid
http://purl.obolibrary.org/obo/OBI_0002503,feces specimen,http://purl.obolibrary.org/obo/UBERON_0001988,feces
http://purl.obolibrary.org/obo/OBI_0002504,digestive system fluid or secretion specimen,http://purl.obolibrary.org/obo/UBERON_0006911,digestive system secreted substance
http://purl.obolibrary.org/obo/OBI_0002505,milk specimen,http://purl.obolibrary.org/obo/UBERON_0001913,milk
http://purl.obolibrary.org/obo/OBI_0002506,pericardial fluid specimen,http://purl.obolibrary.org/obo/UBERON_0002409,pericardial fluid
http://purl.obolibrary.org/obo/OBI_0002507,saliva specimen,http://purl.obolibrary.org/obo/UBERON_0001836,saliva
http://purl.obolibrary.org/obo/OBI_0002508,sputum specimen,http://purl.obolibrary.org/obo/UBERON_0007311,sputum
http://purl.obolibrary.org/obo/OBI_0002509,sweat specimen,http://purl.obolibrary.org/obo/UBERON_0001089,sweat
http://purl.obolibrary.org/obo/OBI_0002510,synovial fluid specimen,http://purl.obolibrary.org/obo/UBERON_0001090,synovial fluid
http://purl.obolibrary.org/obo/OBI_0002511,vitreous humor specimen,http://purl.obolibrary.org/obo/UBERON_0001797,vitreous humor
http://purl.obolibrary.org/obo/OBI_0002512,bone marrow specimen,http://purl.obolibrary.org/obo/UBERON_0002371,bone marrow
http://purl.obolibrary.org/obo/OBI_0002513,placenta specimen,http://purl.obolibrary.org/obo/UBERON_0001987,placenta
http://purl.obolibrary.org/obo/OBI_0002514,peritoneal fluid specimen,http://purl.obolibrary.org/obo/UBERON_0001268,peritoneal fluid
http://purl.obolibrary.org/obo/OBI_0002515,pleural fluid specimen,http://purl.obolibrary.org/obo/UBERON_0001087,pleural fluid
http://purl.obolibrary.org/obo/OBI_0002516,brain specimen,http://purl.obolibrary.org/obo/UBERON_0000955,brain
http://purl.obolibrary.org/obo/OBI_0002517,hair specimen,http://purl.obolibrary.org/obo/UBERON_0001037,strand of hair
http://purl.obolibrary.org/obo/OBI_0002518,prostate gland specimen,http://purl.obolibrary.org/obo/UBERON_0002367,prostate gland
http://purl.obolibrary.org/obo/OBI_0002519,skeletal muscle tissue specimen,http://purl.obolibrary.org/obo/UBERON_0001134,skeletal muscle tissue
http://purl.obolibrary.org/obo/OBI_0002520,heart specimen,http://purl.obolibrary.org/obo/UBERON_0000948,heart
http://purl.obolibrary.org/obo/OBI_0002521,renal medulla specimen,http://purl.obolibrary.org/obo/UBERON_0000362,renal medulla
http://purl.obolibrary.org/obo/OBI_0002522,adrenal gland specimen,http://purl.obolibrary.org/obo/UBERON_0002369,adrenal gland
http://purl.obolibrary.org/obo/OBI_0002523,breast specimen,http://purl.obolibrary.org/obo/UBERON_0000310,breast
http://purl.obolibrary.org/obo/OBI_0002524,urinary bladder specimen,http://purl.obolibrary.org/obo/UBERON_0001255,urinary bladder
http://purl.obolibrary.org/obo/OBI_0002525,tibial artery specimen,http://purl.obolibrary.org/obo/UBERON_0007610,tibial artery
http://purl.obolibrary.org/obo/OBI_0002526,skin of body specimen,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body
http://purl.obolibrary.org/obo/OBI_0002527,pancreas specimen,http://purl.obolibrary.org/obo/UBERON_0001264,pancreas
http://purl.obolibrary.org/obo/OBI_0002528,stomach specimen,http://purl.obolibrary.org/obo/UBERON_0000945,stomach
http://purl.obolibrary.org/obo/OBI_0002529,pituitary gland specimen,http://purl.obolibrary.org/obo/UBERON_0000007,pituitary gland
http://purl.obolibrary.org/obo/OBI_0002530,adipose tissue specimen,http://purl.obolibrary.org/obo/UBERON_0001013,adipose tissue
http://purl.obolibrary.org/obo/OBI_0002531,cortex of kidney specimen,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney
http://purl.obolibrary.org/obo/OBI_0002532,esophagus mucosa specimen,http://purl.obolibrary.org/obo/UBERON_0002469,esophagus mucosa
http://purl.obolibrary.org/obo/OBI_0002533,colon specimen,http://purl.obolibrary.org/obo/UBERON_0001155,colon
http://purl.obolibrary.org/obo/OBI_0002534,lung specimen,http://purl.obolibrary.org/obo/UBERON_0002048,lung
http://purl.obolibrary.org/obo/OBI_0002535,esophagus muscularis mucosa specimen,http://purl.obolibrary.org/obo/UBERON_0004648,esophagus muscularis mucosa
http://purl.obolibrary.org/obo/OBI_0002536,cerebral cortex specimen,http://purl.obolibrary.org/obo/UBERON_0000956,cerebral cortex
http://purl.obolibrary.org/obo/OBI_0002537,thyroid gland specimen,http://purl.obolibrary.org/obo/UBERON_0002046,thyroid gland
http://purl.obolibrary.org/obo/OBI_0002538,cerebellum specimen,http://purl.obolibrary.org/obo/UBERON_0002037,cerebellum
http://purl.obolibrary.org/obo/OBI_0002539,tibial nerve specimen,http://purl.obolibrary.org/obo/UBERON_0001323,tibial nerve
http://purl.obolibrary.org/obo/OBI_0002540,coronary artery specimen,http://purl.obolibrary.org/obo/UBERON_0001621,coronary artery
http://purl.obolibrary.org/obo/OBI_0002541,spleen specimen,http://purl.obolibrary.org/obo/UBERON_0002106,spleen
http://purl.obolibrary.org/obo/OBI_0002542,aorta specimen,http://purl.obolibrary.org/obo/UBERON_0000947,aorta
http://purl.obolibrary.org/obo/OBI_0002543,atrial appendage specimen,http://purl.obolibrary.org/obo/UBERON_0006618,atrium auricular region
http://purl.obolibrary.org/obo/OBI_0002544,esophagogastric junction specimen,http://purl.obolibrary.org/obo/UBERON_0007650,esophagogastric junction
http://purl.obolibrary.org/obo/OBI_0002545,ileum specimen,http://purl.obolibrary.org/obo/UBERON_0002116,ileum
http://purl.obolibrary.org/obo/OBI_0002546,liver specimen,http://purl.obolibrary.org/obo/UBERON_0002107,liver
http://purl.obolibrary.org/obo/OBI_0002547,minor salivary gland specimen,http://purl.obolibrary.org/obo/UBERON_0001830,minor salivary gland
http://purl.obolibrary.org/obo/OBI_0002548,omentum specimen,http://purl.obolibrary.org/obo/UBERON_0003688,omentum
http://purl.obolibrary.org/obo/OBI_0002549,ovary specimen,http://purl.obolibrary.org/obo/UBERON_0000992,ovary
http://purl.obolibrary.org/obo/OBI_0002550,sigmoid colon specimen,http://purl.obolibrary.org/obo/UBERON_0001159,sigmoid colon
http://purl.obolibrary.org/obo/OBI_0002551,suprapubic skin specimen,http://purl.obolibrary.org/obo/UBERON_0036149,suprapubic skin
http://purl.obolibrary.org/obo/OBI_0002552,testis specimen,http://purl.obolibrary.org/obo/UBERON_0000473,testis
http://purl.obolibrary.org/obo/OBI_0002553,uterus specimen,http://purl.obolibrary.org/obo/UBERON_0000995,uterus
http://purl.obolibrary.org/obo/OBI_0002554,vagina specimen,http://purl.obolibrary.org/obo/UBERON_0000996,vagina
